PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Andre Iguodala	GSW	34	7	8	87.5	0	1	0.0	1	1	100	0	1	0.0	0	2	0.0	0	0	0.0
David West	GSW	37	4	4	100	0	1	0.0	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Draymond Green	GSW	28	17	27	63.0	1	4	25.0	1	4	25.0	0	0	0.0	0	1	0.0	2	16	12.5
JaVale McGee	GSW	30	1	1	100	-	-	-	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0
Jordan Bell	GSW	23	5	8	62.5	0	1	0.0	0	0	0.0	0	2	0.0	0	0	0.0	0	0	0.0
Kevin Durant	GSW	29	17	26	65.4	6	12	50.0	13	36	36.1	13	27	48.1	5	9	55.6	15	41	36.6
Kevon Looney	GSW	22	12	25	48.0	0	0	0.0	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0
Klay Thompson	GSW	28	12	18	66.7	1	5	20.0	3	9	33.3	5	10	50.0	15	29	51.7	15	34	44.1
Nick Young	GSW	33	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	2	6	33.3	6	13	46.2
Patrick McCaw	GSW	22	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	2	50.0	0	0	0.0
Quinn Cook	GSW	25	2	3	66.7	0	0	0.0	1	1	100	1	1	100	1	3	33.3	2	4	50.0
Shaun Livingston	GSW	32	10	12	83.3	1	2	50.0	5	14	35.7	1	5	20.0	0	0	0.0	0	0	0.0
Stephen Curry	GSW	30	33	46	71.7	3	7	42.9	2	5	40.0	3	9	33.3	7	21	33.3	20	52	38.5
Zaza Pachulia	GSW	34	1	1	100	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
