PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Andre Iguodala	GSW	34	26	37	70.3	1	4	25.0	1	3	33.3	0	4	0.0	5	14	35.7	9	23	39.1
Damian Jones	GSW	23	1	1	100	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0
David West	GSW	37	17	22	77.3	1	4	25.0	2	4	50.0	6	11	54.5	1	3	33.3	0	1	0.0
Draymond Green	GSW	28	55	84	65.5	1	10	10.0	2	9	22.2	4	10	40.0	4	20	20.0	17	57	29.8
JaVale McGee	GSW	30	33	45	73.3	3	7	42.9	3	5	60.0	0	0	0.0	0	0	0.0	0	1	0.0
Jordan Bell	GSW	23	16	23	69.6	0	3	0.0	1	2	50.0	0	3	0.0	0	0	0.0	0	0	0.0
Kevin Durant	GSW	29	43	64	67.2	19	32	59.4	44	96	45.8	52	92	56.5	10	25	40.0	40	121	33.1
Kevon Looney	GSW	22	35	60	58.3	0	1	0.0	2	3	66.7	2	6	33.3	0	1	0.0	0	1	0.0
Klay Thompson	GSW	28	31	46	67.4	4	14	28.6	16	38	42.1	29	59	49.2	38	86	44.2	40	97	41.2
Nick Young	GSW	33	1	2	50.0	1	2	50.0	0	1	0.0	0	1	0.0	4	16	25.0	10	28	35.7
Patrick McCaw	GSW	22	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	2	50.0	0	0	0.0
Quinn Cook	GSW	25	12	18	66.7	1	3	33.3	2	3	66.7	7	11	63.6	3	13	23.1	5	18	27.8
Shaun Livingston	GSW	32	31	38	81.6	3	10	30.0	20	47	42.6	5	14	35.7	0	0	0.0	0	0	0.0
Stephen Curry	GSW	30	52	79	65.8	6	16	37.5	4	14	28.6	8	20	40.0	17	45	37.8	43	112	38.4
Zaza Pachulia	GSW	34	3	5	60.0	1	1	100	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0
