PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Jackson	HOU	32	2	2	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0
Chris Paul	HOU	33	11	18	61.1	3	10	30.0	3	10	30.0	4	9	44.4	3	6	50.0	11	33	33.3
Clint Capela	HOU	24	30	39	76.9	1	3	33.3	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0
Eric Gordon	HOU	29	19	34	55.9	2	6	33.3	2	3	66.7	0	0	0.0	2	8	25.0	19	52	36.5
Gerald Green	HOU	32	3	8	37.5	0	1	0.0	0	1	0.0	0	1	0.0	7	15	46.7	5	12	41.7
James Harden	HOU	28	39	58	67.2	4	13	30.8	4	9	44.4	1	3	33.3	2	12	16.7	18	67	26.9
Joe Johnson	HOU	37	1	1	100	1	2	50.0	0	2	0.0	1	2	50.0	0	2	0.0	0	1	0.0
Luc Mbah a Moute	HOU	31	1	10	10.0	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0	1	3	33.3
Nene	HOU	35	0	1	0.0	-	-	-	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
P.J. Tucker	HOU	33	6	8	75.0	1	6	16.7	0	1	0.0	0	0	0.0	12	25	48.0	1	2	50.0
Ryan Anderson	HOU	30	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	2	0.0
Tarik Black	HOU	26	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Trevor Ariza	HOU	33	13	22	59.1	0	5	0.0	1	1	100	0	0	0.0	4	16	25.0	3	19	15.8
