PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Brooks	MIN	33	7	15	46.7	2	8	25.0	5	9	55.6	3	4	75.0	6	11	54.5	5	19	26.3
Aaron Gordon	ORL	22	188	282	66.7	10	50	20.0	25	70	35.7	31	104	29.8	42	119	35.3	79	236	33.5
Aaron Harrison	DAL	23	5	9	55.6	1	2	50.0	1	4	25.0	3	10	30.0	4	23	17.4	5	21	23.8
Aaron Jackson	HOU	32	1	4	25.0	1	1	100	0	0	0.0	0	0	0.0	1	2	50.0	0	2	0.0
Abdel Nader	BOS	24	21	52	40.4	4	20	20.0	1	5	20.0	0	4	0.0	12	31	38.7	12	37	32.4
Adreian Payne	ORL	27	2	2	100	1	1	100	0	0	0.0	1	2	50.0	3	4	75.0	0	1	0.0
Al Horford	BOS	32	139	206	67.5	55	135	40.7	38	102	37.3	31	63	49.2	34	86	39.5	71	161	44.1
Al Jefferson	IND	33	45	73	61.6	25	49	51.0	24	38	63.2	16	41	39.0	1	6	16.7	0	1	0.0
Al-Farouq Aminu	POR	27	86	146	58.9	12	49	24.5	2	12	16.7	3	27	11.1	71	172	41.3	56	176	31.8
Alan Williams	PHX	25	4	7	57.1	3	8	37.5	0	3	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Alec Burks	UTA	26	75	132	56.8	14	48	29.2	15	44	34.1	14	36	38.9	28	74	37.8	23	76	30.3
Alec Peters	PHX	23	8	12	66.7	0	0	0.0	0	0	0.0	2	4	50.0	7	25	28.0	11	32	34.4
Alex Abrines	OKC	24	23	42	54.8	2	7	28.6	5	8	62.5	0	5	0.0	39	106	36.8	46	117	39.3
Alex Caruso	LAL	24	29	41	70.7	3	10	30.0	3	13	23.1	2	8	25.0	4	14	28.6	9	28	32.1
Alex Len	PHX	25	194	321	60.4	7	19	36.8	10	20	50.0	2	11	18.2	0	5	0.0	1	2	50.0
Alex Poythress	IND	24	7	12	58.3	0	2	0.0	0	0	0.0	0	1	0.0	2	4	50.0	2	7	28.6
Alfonzo McKinnie	TOR	25	2	2	100	2	3	66.7	0	0	0.0	1	1	100	2	5	40.0	1	4	25.0
Allen Crabbe	BKN	26	65	93	69.9	22	55	40.0	14	42	33.3	22	52	42.3	86	243	35.4	126	331	38.1
Amir Johnson	PHI	31	98	153	64.1	27	58	46.6	2	10	20.0	2	4	50.0	5	15	33.3	6	19	31.6
Andre Drummond	DET	24	410	673	60.9	42	146	28.8	14	47	29.8	0	3	0.0	0	3	0.0	0	3	0.0
Andre Iguodala	GSW	34	85	114	74.6	5	22	22.7	8	20	40.0	14	40	35.0	12	43	27.9	24	76	31.6
Andre Ingram	LAL	32	0	1	0.0	0	1	0.0	3	4	75.0	0	2	0.0	1	1	100	4	8	50.0
Andre Roberson	OKC	26	79	124	63.7	0	1	0.0	0	0	0.0	0	1	0.0	5	26	19.2	3	8	37.5
Andrew Bogut	LAL	33	14	18	77.8	2	4	50.0	0	2	0.0	1	1	100	0	0	0.0	0	0	0.0
Andrew Harrison	MEM	23	82	147	55.8	13	35	37.1	9	24	37.5	22	58	37.9	25	81	30.9	30	81	37.0
Andrew White III	ATL	25	4	12	33.3	1	1	100	1	3	33.3	1	4	25.0	9	26	34.6	9	27	33.3
Andrew Wiggins	MIN	23	244	372	65.6	70	159	44.0	54	155	34.8	63	188	33.5	75	213	35.2	62	203	30.5
Ante Zizic	CLE	21	37	46	80.4	10	16	62.5	1	4	25.0	1	1	100	0	0	0.0	0	0	0.0
Anthony Brown	MIN	25	0	0	0.0	0	0	0.0	0	0	0.0	-	-	-	1	1	100	0	0	0.0
Anthony Davis	NOP	25	460	634	72.6	89	207	43.0	83	188	44.1	72	206	35.0	37	111	33.3	38	110	34.5
Anthony Tolliver	DET	33	50	79	63.3	4	14	28.6	3	8	37.5	1	3	33.3	57	139	41.0	104	229	45.4
Antonio Blakeney	CHI	21	16	31	51.6	2	10	20.0	4	12	33.3	10	24	41.7	17	42	40.5	4	24	16.7
Antonius Cleveland	ATL	24	2	5	40.0	0	1	0.0	0	2	0.0	1	5	20.0	3	6	50.0	2	2	100
Aron Baynes	BOS	31	107	203	52.7	26	62	41.9	32	74	43.2	38	76	50.0	6	25	24.0	1	5	20.0
Arron Afflalo	ORL	32	14	23	60.9	6	12	50.0	6	20	30.0	10	28	35.7	16	47	34.0	12	29	41.4
Austin Rivers	LAC	25	156	294	53.1	25	80	31.3	17	50	34.0	6	16	37.5	47	119	39.5	90	246	36.6
Avery Bradley	LAC	27	96	173	55.5	17	50	34.0	17	51	33.3	37	91	40.7	55	151	36.4	36	108	33.3
Bam Adebayo	MIA	20	150	252	59.5	12	39	30.8	7	26	26.9	5	15	33.3	0	2	0.0	0	2	0.0
Ben McLemore	MEM	25	63	113	55.8	7	24	29.2	10	16	62.5	13	39	33.3	33	92	35.9	31	87	35.6
Ben Moore	IND	23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Ben Simmons	PHI	21	402	580	69.3	76	204	37.3	50	157	31.8	15	43	34.9	1	3	33.3	0	2	0.0
Bismack Biyombo	ORL	25	143	228	62.7	24	69	34.8	11	38	28.9	5	16	31.3	0	0	0.0	0	0	0.0
Blake Griffin	DET	29	234	374	62.6	43	130	33.1	8	44	18.2	31	88	35.2	51	147	34.7	69	208	33.2
Boban Marjanovic	LAC	29	60	96	62.5	14	35	40.0	4	12	33.3	1	5	20.0	0	0	0.0	0	0	0.0
Bobby Brown	HOU	33	4	7	57.1	0	2	0.0	2	5	40.0	1	2	50.0	4	7	57.1	8	32	25.0
Bobby Portis	CHI	23	169	312	54.2	43	84	51.2	32	65	49.2	41	83	49.4	40	118	33.9	57	148	38.5
Bogdan Bogdanovic	SAC	25	86	152	56.6	21	58	36.2	41	85	48.2	36	90	40.0	91	180	50.6	68	194	35.1
Bojan Bogdanovic	IND	29	156	258	60.5	32	70	45.7	30	67	44.8	29	64	45.3	69	161	42.9	88	228	38.6
Bradley Beal	WAS	25	237	371	63.9	32	89	36.0	71	165	43.0	106	241	44.0	95	229	41.5	142	383	37.1
Brandan Wright	HOU	30	50	75	66.7	4	13	30.8	4	11	36.4	1	3	33.3	0	0	0.0	0	0	0.0
