PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Austin Rivers	HOU	26	6	9	66.7	0	2	0.0	0	2	0.0	0	1	0.0	3	5	60.0	7	17	41.2
Chris Paul	HOU	34	6	10	60.0	3	8	37.5	10	14	71.4	3	7	42.9	0	5	0.0	11	28	39.3
Clint Capela	HOU	25	22	38	57.9	1	5	20.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Danuel House Jr.	HOU	26	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0	1	2	50.0	0	3	0.0
Eric Gordon	HOU	30	19	27	70.4	3	5	60.0	0	2	0.0	0	1	0.0	4	6	66.7	13	47	27.7
Gerald Green	HOU	33	0	0	0.0	0	3	0.0	0	1	0.0	0	0	0.0	3	6	50.0	3	10	30.0
Iman Shumpert	HOU	29	1	2	50.0	0	0	0.0	0	0	0.0	1	1	100	4	6	66.7	4	14	28.6
James Harden	HOU	29	22	32	68.8	10	27	37.0	5	9	55.6	2	2	100	0	6	0.0	27	70	38.6
Kenneth Faried	HOU	29	0	0	0.0	-	-	-	-	-	-	0	1	0.0	0	0	0.0	0	0	0.0
Nene	HOU	36	4	4	100	3	3	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
P.J. Tucker	HOU	34	8	17	47.1	1	4	25.0	1	1	100	0	0	0.0	9	19	47.4	3	6	50.0
