PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Alec Burks	PHI	28	84	175	48.0	17	53	32.1	23	67	34.3	23	54	42.6	35	85	41.2	60	159	37.7
Alen Smailagic	GSW	19	14	17	82.4	2	6	33.3	0	2	0.0	1	2	50.0	1	7	14.3	2	6	33.3
Andrew Wiggins	GSW	25	38	60	63.3	10	23	43.5	9	18	50.0	5	14	35.7	11	29	37.9	13	43	30.2
Chasson Randle	GSW	27	0	0	0.0	0	0	0.0	0	1	0.0	0	1	0.0	0	1	0.0	0	1	0.0
D'Angelo Russell	MIN	24	41	61	67.2	21	60	35.0	35	90	38.9	48	88	54.5	28	63	44.4	88	238	37.0
Damion Lee	GSW	27	61	106	57.5	19	44	43.2	27	62	43.5	19	47	40.4	27	80	33.8	58	167	34.7
Dragan Bender	GSW	22	15	26	57.7	5	11	45.5	0	0	0.0	0	0	0.0	5	12	41.7	6	21	28.6
Draymond Green	GSW	30	55	93	59.1	13	38	34.2	11	25	44.0	7	24	29.2	6	26	23.1	31	109	28.4
Eric Paschall	GSW	23	176	268	65.7	34	83	41.0	24	56	42.9	35	75	46.7	24	76	31.6	25	80	31.3
Glenn Robinson III	PHI	26	81	130	62.3	27	56	48.2	26	57	45.6	32	70	45.7	42	106	39.6	36	87	41.4
Jacob Evans	MIN	23	8	22	36.4	1	8	12.5	8	23	34.8	14	36	38.9	4	17	23.5	10	26	38.5
Jeremy Pargo	GSW	34	5	6	83.3	0	3	0.0	2	3	66.7	1	2	50.0	0	1	0.0	3	7	42.9
Jordan Poole	GSW	21	43	92	46.7	11	20	55.0	12	38	31.6	23	66	34.8	22	75	29.3	53	188	28.2
Juan Toscano-Anderson	GSW	27	20	36	55.6	1	1	100	0	1	0.0	0	0	0.0	4	11	36.4	4	14	28.6
Kevon Looney	GSW	24	24	44	54.5	1	6	16.7	1	2	50.0	2	12	16.7	1	7	14.3	0	7	0.0
Ky Bowman	GSW	23	51	87	58.6	9	31	29.0	18	38	47.4	20	50	40.0	18	44	40.9	18	67	26.9
Marquese Chriss	GSW	22	174	274	63.5	19	47	40.4	3	10	30.0	5	14	35.7	3	9	33.3	6	30	20.0
Mychal Mulder	GSW	26	6	9	66.7	2	3	66.7	0	1	0.0	1	1	100	10	19	52.6	7	34	20.6
Omari Spellman	MIN	22	55	105	52.4	5	18	27.8	7	15	46.7	13	36	36.1	18	42	42.9	29	77	37.7
Stephen Curry	GSW	32	12	19	63.2	2	3	66.7	1	1	100	2	4	50.0	6	16	37.5	7	30	23.3
Willie Cauley-Stein	DAL	26	115	166	69.3	16	35	45.7	8	24	33.3	4	29	13.8	1	3	33.3	0	0	0.0
Zach Norvell Jr.	GSW	22	0	0	0.0	0	1	0.0	0	1	0.0	0	1	0.0	0	2	0.0	3	6	50.0
