PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Alperen Sengun	HOU	19	188	314	59.9	23	67	34.3	6	20	30.0	2	5	40.0	4	15	26.7	26	97	26.8
Armoni Brooks	TOR	24	19	28	67.9	3	4	75.0	0	3	0.0	0	0	0.0	12	42	28.6	51	168	30.4
Bruno Fernando	HOU	23	25	35	71.4	4	5	80.0	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Christian Wood	HOU	26	238	353	67.4	48	106	45.3	16	44	36.4	5	29	17.2	32	87	36.8	99	256	38.7
D.J. Augustin	LAL	34	14	28	50.0	1	4	25.0	0	2	0.0	0	5	0.0	11	20	55.0	29	77	37.7
Daishen Nix	HOU	20	18	31	58.1	2	9	22.2	0	0	0.0	0	1	0.0	1	6	16.7	6	19	31.6
Daniel Theis	BOS	30	48	67	71.6	6	11	54.5	4	12	33.3	3	9	33.3	10	31	32.3	13	48	27.1
Danuel House Jr.	UTA	29	10	24	41.7	0	5	0.0	1	4	25.0	4	5	80.0	3	17	17.6	7	17	41.2
David Nwaba	HOU	29	65	108	60.2	4	16	25.0	1	3	33.3	0	0	0.0	6	20	30.0	9	28	32.1
Dennis Schroder	HOU	28	21	41	51.2	2	10	20.0	1	10	10.0	11	19	57.9	3	8	37.5	17	52	32.7
Eric Gordon	HOU	33	113	184	61.4	25	63	39.7	4	11	36.4	0	3	0.0	17	36	47.2	102	255	40.0
Garrison Mathews	HOU	25	41	60	68.3	2	7	28.6	1	4	25.0	1	2	50.0	38	121	31.4	94	242	38.8
Jae'Sean Tate	HOU	26	262	428	61.2	35	89	39.3	2	7	28.6	0	2	0.0	30	101	29.7	34	101	33.7
Jalen Green	HOU	20	202	345	58.6	5	37	13.5	9	24	37.5	25	71	35.2	45	118	38.1	120	357	33.6
Josh Christopher	HOU	20	119	187	63.6	28	57	49.1	18	54	33.3	2	10	20.0	20	69	29.0	36	114	31.6
Kenyon Martin Jr.	HOU	21	206	321	64.2	13	33	39.4	0	1	0.0	0	0	0.0	17	56	30.4	43	112	38.4
Kevin Porter Jr.	HOU	22	126	224	56.3	17	67	25.4	13	38	34.2	20	54	37.0	44	97	45.4	115	323	35.6
Trevelin Queen	HOU	25	6	8	75.0	0	1	0.0	0	0	0.0	0	0	0.0	3	6	50.0	5	16	31.3
Usman Garuba	HOU	20	14	23	60.9	0	0	0.0	0	1	0.0	0	0	0.0	4	9	44.4	1	11	9.1
