Kevin Durant	29	7	7	274	70	152	19	48	54	61	6	34	40	19	2	6	13	14	213	.461	.396	.885	39.1	30.4	5.7	2.7	0.3	0.9
Stephen Curry	29	7	7	268	68	145	27	75	12	14	4	42	46	40	12	6	17	21	175	.469	.360	.857	38.3	25.0	6.6	5.7	1.7	0.9
Klay Thompson	27	7	7	266	51	106	27	55	7	10	5	19	24	11	11	2	12	15	136	.481	.491	.700	38.0	19.4	3.4	1.6	1.6	0.3
Draymond Green	27	7	7	279	21	52	2	17	14	17	11	72	83	47	14	12	27	24	58	.404	.118	.824	39.9	8.3	11.9	6.7	2.0	1.7
Shaun Livingston	32	7	0	121	17	33	0	0	3	5	5	11	16	5	3	0	6	12	37	.515		.600	17.2	5.3	2.3	0.7	0.4	0.0
Nick Young	32	7	0	97	9	21	8	20	4	5	1	5	6	3	0	0	1	10	30	.429	.400	.800	13.8	4.3	0.9	0.4	0.0	0.0
Andre Iguodala	34	3	3	82	8	13	0	2	10	12	3	10	13	5	5	1	5	6	26	.615	.000	.833	27.2	8.7	4.3	1.7	1.7	0.3
Kevon Looney	21	7	4	135	13	27	0	0	0	2	20	15	35	5	5	4	2	16	26	.481		.000	19.3	3.7	5.0	0.7	0.7	0.6
Quinn Cook	24	6	0	27	7	12	3	7	3	3	0	2	2	2	2	0	1	4	20	.583	.429	1.000	4.5	3.3	0.3	0.3	0.3	0.0
Jordan Bell	23	6	0	85	5	11	0	0	2	4	9	17	26	5	3	5	6	11	12	.455		.500	14.2	2.0	4.3	0.8	0.5	0.8
David West	37	4	0	27	4	7	0	0	0	0	2	2	4	5	0	0	1	5	8	.571			6.7	2.0	1.0	1.3	0.0	0.0
Zaza Pachulia	33	3	0	12	2	2	0	0	1	2	1	2	3	1	1	0	1	0	5	1.000		.500	3.9	1.7	1.0	0.3	0.3	0.0
JaVale McGee	30	1	0	3	2	2	0	0	0	0	0	1	1	0	0	0	0	0	4	1.000			3.1	4.0	1.0	0.0	0.0	0.0
Patrick McCaw	22	2	0	5	1	2	0	1	0	0	0	2	2	0	1	0	0	1	2	.500	.000		2.7	1.0	1.0	0.0	0.5	0.0
