James Harden	28	7	7	267	68	164	19	78	46	52	6	33	39	42	15	4	34	20	201	.415	.244	.885	38.2	28.7	5.6	6.0	2.1	0.6
Eric Gordon	29	7	2	243	44	104	21	60	24	29	2	18	20	14	4	4	14	12	133	.423	.350	.828	34.6	19.0	2.9	2.0	0.6	0.6
Chris Paul	32	5	5	184	35	86	14	38	15	20	5	29	34	23	9	2	9	21	99	.407	.368	.750	36.7	19.8	6.8	4.6	1.8	0.4
Clint Capela	23	7	7	199	31	43	0	0	10	25	20	55	75	6	4	8	9	15	72	.721		.400	28.5	10.3	10.7	0.9	0.6	1.1
Trevor Ariza	32	7	7	259	21	63	7	35	13	15	7	18	25	12	10	1	8	25	62	.333	.200	.867	36.9	8.9	3.6	1.7	1.4	0.1
P.J. Tucker	32	7	7	272	20	42	13	27	8	13	17	46	63	13	9	2	10	22	61	.476	.481	.615	38.9	8.7	9.0	1.9	1.3	0.3
Gerald Green	32	7	0	126	15	39	12	28	2	3	1	13	14	0	0	5	7	10	44	.385	.429	.667	18.1	6.3	2.0	0.0	0.0	0.7
Joe Johnson	36	4	0	25	3	10	0	3	0	0	0	6	6	1	0	0	2	1	6	.300	.000		6.2	1.5	1.5	0.3	0.0	0.0
Luc Mbah a Moute	31	4	0	54	2	15	1	5	0	2	3	4	7	0	2	0	2	1	5	.133	.200	.000	13.6	1.3	1.8	0.0	0.5	0.0
Aaron Jackson	31	2	0	8	2	3	0	1	0	0	2	1	3	1	0	0	1	1	4	.667	.000		4.1	2.0	1.5	0.5	0.0	0.0
Tarik Black	26	2	0	9	1	2	0	0	0	0	2	1	3	1	0	0	1	3	2	.500			4.5	1.0	1.5	0.5	0.0	0.0
Ryan Anderson	29	5	0	29	0	4	0	2	0	0	2	1	3	1	1	0	1	5	0	.000	.000		5.7	0.0	0.6	0.2	0.2	0.0
Nenê	35	1	0	6	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	.000			5.8	0.0	1.0	0.0	0.0	0.0
